congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
96,President,99906,99,0,USA,100,0,0,"CARTER, James Earl, Jr.",,1924,,-0.504,0.119,-162.52078,0.72,495,80,,,
96,House,10706,41,6,AL,200,0,1,"BUCHANAN, John Hall, Jr.",B001008,1928,,0.146,-0.118,-507.36818,0.597,985,261,,0.029,-0.373
96,House,10717,41,2,AL,200,0,1,"DICKINSON, William Louis",D000326,1925,2008.0,0.398,-0.057,-333.608,0.712,981,135,,0.37,0.056
96,House,10721,41,1,AL,200,0,1,"EDWARDS, William Jackson (Jack)",E000084,1928,,0.177,0.161,-344.20768,0.696,950,146,,0.126,0.102
96,House,11000,41,4,AL,100,0,1,"BEVILL, Tom",B000431,1921,2005.0,-0.213,0.976,-280.33624,0.75,975,121,,-0.211,0.914
96,House,11037,41,3,AL,100,0,1,"NICHOLS, William Flynt",N000095,1918,1988.0,-0.042,0.872,-279.38344,0.749,965,125,,-0.032,0.846
96,House,14419,41,5,AL,100,0,1,"FLIPPO, Ronnie Gene",F000208,1937,,-0.175,0.834,-271.96182,0.754,964,115,,-0.173,0.759
96,House,14659,41,7,AL,100,0,1,"SHELBY, Richard C.",S000320,1934,,0.013,0.658,-293.81573,0.755,1046,117,,0.007,0.734
96,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.28,0.015,-315.06086,0.65552,746,133,,0.22,0.171
96,House,7845,61,1,AZ,200,0,1,"RHODES, John Jacob",R000188,1916,2003.0,0.225,-0.033,-354.72098,0.67,886,164,,0.194,-0.121
96,House,10566,61,2,AZ,100,0,1,"UDALL, Morris King",U000001,1922,1998.0,-0.387,0.008,-241.57696,0.769,919,102,,-0.331,-0.051
96,House,14449,61,4,AZ,200,0,1,"RUDD, Eldon Dean",R000495,1920,2002.0,0.422,0.611,-209.32533,0.808,981,92,,0.478,0.437
96,House,94454,61,3,AZ,100,0,1,"STUMP, Robert Lee",S001044,1927,2003.0,0.329,0.944,-243.59227,0.786,1009,110,,0.435,0.901
96,House,11020,42,3,AR,200,0,1,"HAMMERSCHMIDT, John Paul",H000124,1922,2015.0,0.253,0.239,-327.90161,0.724,1016,145,,0.25,0.214
96,House,12000,42,1,AR,100,0,1,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1934,,-0.41,0.819,-221.47618,0.774,863,98,,-0.437,0.673
96,House,14601,42,4,AR,100,0,1,"ANTHONY, Beryl Franklin, Jr.",A000213,1938,,-0.254,0.484,-336.68198,0.706,967,151,,-0.248,0.626
96,House,14606,42,2,AR,200,0,1,"BETHUNE, Edwin Ruthvin, Jr.",B000422,1935,,0.304,-0.165,-336.16486,0.718,1013,148,,0.308,-0.076
96,House,4957,71,1,CA,100,0,1,"JOHNSON, Harold Terry",J000135,1907,1988.0,-0.439,0.503,-250.30039,0.781,1011,93,,-0.43,0.425
96,House,10249,71,41,CA,200,0,1,"WILSON, Robert Carlton (Bob)",W000610,1916,1999.0,0.264,-0.265,-428.89476,0.543,703,190,,0.249,-0.393
96,House,10511,71,21,CA,100,0,1,"CORMAN, James Charles",C000780,1920,2000.0,-0.53,0.098,-153.0461,0.846,913,67,,-0.553,0.206
96,House,10553,71,26,CA,200,0,1,"ROUSSELOT, John Harbin",R000469,1927,2003.0,0.601,0.164,-199.26385,0.806,922,89,,0.619,0.226
96,House,10573,71,36,CA,100,0,1,"BROWN, George Edward, Jr.",B000918,1920,1999.0,-0.506,-0.028,-220.60811,0.789,931,94,,-0.518,-0.027
96,House,10577,71,6,CA,100,0,1,"BURTON, Phillip",B001156,1926,1983.0,-0.634,-0.304,-160.66303,0.839,917,61,,-0.61,-0.378
96,House,10579,71,2,CA,200,0,1,"CLAUSEN, Donald Holst",C000475,1923,2015.0,0.16,0.036,-325.24162,0.716,974,140,,0.144,-0.019
96,House,10583,71,10,CA,100,0,1,"EDWARDS, William Donlon (Don)",E000064,1915,2015.0,-0.599,-0.419,-171.44961,0.839,978,62,,-0.556,-0.448
96,House,10595,71,29,CA,100,0,1,"HAWKINS, Augustus Freeman (Gus)",H000367,1907,2007.0,-0.517,-0.369,-174.13939,0.824,901,71,,-0.506,-0.224
96,House,10621,71,25,CA,100,0,1,"ROYBAL, Edward R.",R000485,1916,2005.0,-0.61,-0.141,-214.38282,0.801,964,87,,-0.584,-0.114
96,House,10633,71,42,CA,100,0,1,"VAN DEERLIN, Lionel",V000024,1914,2008.0,-0.401,-0.005,-213.20417,0.797,940,98,,-0.47,0.105
96,House,10640,71,31,CA,100,0,1,"WILSON, Charles Herbert",W000571,1917,1984.0,-0.39,0.357,-297.38417,0.563,518,122,,-0.272,0.417
